BIL,RENTAL HOUSE ADDRESS,PERIOD OF RENTAL CONTRACT,MONTHLY RENTAL PRICE RATE,DEPOSIT VALUE,TYPE OF HOUSE/ ROOM,PICTURES OF HOUSES/ ROOM,REMARK,"RENTAL STATUS
(VACANT/RENTED)"
11,"Komune Living Artist One Plus Loft(2 Queen Size Beds + 1 living room)

",Flexible rental Duration,"RM5,350",1-month refundable security rental deposit (RM5350),House/ Whole Unit Apartment,https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*

Komune Living Benefits & Privileges
• Wireless internet broadband access.
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community 
kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium). 
• Bathroom amenity - 2 in 1 shower gel will be provided. 
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.*

Remarks:
1. Rates are subject to change without prior notice. 
2. Prevailing daily rate will only apply for Extension Stay of less than One (1) month.
3. Breakfast is chargeable at RM450.00+ per month per person.
4. Rates are subjected to 6% Service Tax and Tourism Tax (RM10 per night)
",CHAT WITH US FOR LATEST UPDATE
12,"Komune Living Thinker Two Type 1 (1 Queen Size Bed + 1 Super Single Bed)

",Flexible rental Duration,"RM3,950",1-month refundable security rental deposit (RM3950),House/ Whole Unit Apartment,https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*

Komune Living Benefits & Privileges
• Wireless internet broadband access.
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community 
kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium). 
• Bathroom amenity - 2 in 1 shower gel will be provided. 
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.*

Remarks:
1. Rates are subject to change without prior notice. 
2. Prevailing daily rate will only apply for Extension Stay of less than One (1) month.
3. Breakfast is chargeable at RM450.00+ per month per person.
4. Rates are subjected to 6% Service Tax and Tourism Tax (RM10 per night)
",CHAT WITH US FOR LATEST UPDATE
13,"Komune Living Thinker Two Type 2 (1 Queen Size Beds)

",Flexible rental Duration,"RM4,350",1-month refundable security rental deposit (RM4350),House/ Whole Unit Apartment,https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*

Komune Living Benefits & Privileges
• Wireless internet broadband access.
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community 
kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium). 
• Bathroom amenity - 2 in 1 shower gel will be provided. 
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.*

Remarks:
1. Rates are subject to change without prior notice. 
2. Prevailing daily rate will only apply for Extension Stay of less than One (1) month.
3. Breakfast is chargeable at RM450.00+ per month per person.
4. Rates are subjected to 6% Service Tax and Tourism Tax (RM10 per night)
",CHAT WITH US FOR LATEST UPDATE
14,"ROOM 3
Pantai Hillpark Phase 2 - About 3.5KM Away from campus. 
(https://goo.gl/maps/gxzNEU7t8p3SSAMy5)",Minimum 6 months & above,RM600,1.5-month refundable security & utility deposit (RM900),https://youtube.com/shorts/wNt4uw1DbKY?feature=share ,"Living Hall https://youtube.com/shorts/bkmBzYiVbbU?feature=share 

Overview: https://drive.google.com/file/d/1qxVIthvsogxq2lrrfKSr7YuTiuHT1TUg/view?usp=share_link ","(K) ROOM 3 (Medium Bedroom with Shared Bathroom)
Room with Shared bathroom and equipped with Air-conditioning & ceiling fan, study table & chair, wardrobe, 1 queen size bed

(a) Free Water, Wifi, Housekeeping and Maintenance but electricity bill is based on usage; 
(b) Tenancy, Disbursement, Stamping, Administration Fees, Service Fees will be informed through direct message",
15,"ROOM 4
Pantai Hillpark Phase 2 - About 3.5KM Away from campus. 
(https://goo.gl/maps/gxzNEU7t8p3SSAMy5)",Minimum 6 months & above,RM800,1.5-month refundable security & utility deposit (RM1200),https://youtube.com/shorts/gZ12Bir9QJ4?feature=share ,"Living Hall https://youtube.com/shorts/bkmBzYiVbbU?feature=share 

Overview: https://drive.google.com/file/d/1qxVIthvsogxq2lrrfKSr7YuTiuHT1TUg/view?usp=share_link ","(K) ROOM 4 (Medium Bedroom with Shared Bathroom with Balcony)
Room with Shared bathroom and equipped with Air-conditioning & ceiling fan, study table & chair, wardrobe, 1 queen size bed

(a) Free Water, Wifi, Housekeeping and Maintenance but electricity bill is based on usage; 
(b) Tenancy, Disbursement, Stamping, Administration Fees, Service Fees will be informed through direct message",
16,"ROOM 5
Pantai Hillpark Phase 2 - About 3.5KM Away from campus. 
(https://goo.gl/maps/gxzNEU7t8p3SSAMy5)",Minimum 6 months & above,RM700,1.5-month refundable security & utility deposit (RM1050),https://youtube.com/shorts/PBTXA_a2KW0?feature=share ,"Living Hall https://youtube.com/shorts/bkmBzYiVbbU?feature=share 

Overview: https://drive.google.com/file/d/1qxVIthvsogxq2lrrfKSr7YuTiuHT1TUg/view?usp=share_link ","(K) ROOM 5 (Medium Bedroom with Shared Bathroom)
Room with Shared bathroom and equipped with Air-conditioning & ceiling fan, study table & chair, wardrobe, 1 queen size bed

(a) Free Water, Wifi, Housekeeping and Maintenance but electricity bill is based on usage; 
(b) Tenancy, Disbursement, Stamping, Administration Fees, Service Fees will be informed through direct message",
17,Komune Living Thinker Studio (1 Super Single Bed),Flexible rental Duration,"RM2,350",1-month refundable security rental deposit (RM2350),https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link ,https://drive.google.com/drive/folders/1hO3l13CO8-7ejOqFFeaEsE8FDQoBkeO4?usp=sharing,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*
Benefits: 
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.
",
18,Komune Living Thinker Studio Two (1 Queen Size Bed),Flexible rental Duration,"RM2,650",1-month refundable security rental deposit (RM2650),https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link ,https://drive.google.com/drive/folders/1hO3l13CO8-7ejOqFFeaEsE8FDQoBkeO4?usp=sharing,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*
Benefits: 
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.
",
19,Komune Living Dreamer Studio (1 Queen Size Bed),Flexible rental Duration,"RM2,650",1-month refundable security rental deposit (RM2650),https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link ,https://drive.google.com/drive/folders/1hO3l13CO8-7ejOqFFeaEsE8FDQoBkeO4?usp=sharing,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*
Benefits: 
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.
",
20,"Komune Living Dreamer One Plus (1 Queen Size Bed + 1 living room)

",Flexible rental Duration,"RM3,550",1-month refundable security rental deposit (RM3550),https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link ,https://drive.google.com/drive/folders/1hO3l13CO8-7ejOqFFeaEsE8FDQoBkeO4?usp=sharing,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*
Benefits: 
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.
",
21,"Komune Living Artist Studio Loft (1 Queen Size Bed + 1 Super Single Bed)

",Flexible rental Duration,"RM3,150",1-month refundable security rental deposit (RM3150),https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link ,https://drive.google.com/drive/folders/1hO3l13CO8-7ejOqFFeaEsE8FDQoBkeO4?usp=sharing,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*
Benefits: 
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.
",
22,"Komune Living Artist One Plus Loft(2 Queen Size Beds + 1 living room)

",Flexible rental Duration,"RM5,350",1-month refundable security rental deposit (RM5350),https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link ,https://drive.google.com/drive/folders/1hO3l13CO8-7ejOqFFeaEsE8FDQoBkeO4?usp=sharing,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*
Benefits: 
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.
",
23,"Komune Living Thinker Two Type 1 (1 Queen Size Bed + 1 Super Single Bed)

",Flexible rental Duration,"RM3,950",1-month refundable security rental deposit (RM3950),https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link ,https://drive.google.com/drive/folders/1hO3l13CO8-7ejOqFFeaEsE8FDQoBkeO4?usp=sharing,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*
Benefits: 
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.
",
24,"Komune Living Thinker Two Type 2 (1 Queen Size Beds)

",Flexible rental Duration,"RM4,350",1-month refundable security rental deposit (RM4350),https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link ,https://drive.google.com/drive/folders/1hO3l13CO8-7ejOqFFeaEsE8FDQoBkeO4?usp=sharing,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*
Benefits: 
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.
",
25,"ROOM A
CoLiv @ Damai Residence
Location: https://g.co/kgs/hyujDDL  ",Flexible rental Duration,"RM1,675","1-month refundable security rental deposit (RM1675)

NOTE: Rental Duration of 6-11 months, 2 months security deposit is required. If rental duration is lesser than 6 months, then the a different rental rate will apply.",https://my.matterport.com/show/?m=e14PWqP5Zzr ,"Shared Bathroom: https://my.matterport.com/show/?m=AT4X364V7GY 
Unit Pantry: https://my.matterport.com/show/?m=vsjAS7At4sv ","Lobby: https://my.matterport.com/show/?m=MzP34EGBTkH 
Gym: https://my.matterport.com/show/?m=TDAXKhVnxyp 
Laundry: https://my.matterport.com/show/?m=va12CiCMHa4 
Garden: https://my.matterport.com/show/?m=XJC9JXTth2U 
Kitchen: https://my.matterport.com/show/?m=wx4KzajnJB7 
Co-Coon Hub: https://my.matterport.com/show/?m=CM8P3fJHj2B 
Rooftop: https://my.matterport.com/show/?m=WPXtVgKxcYj ",
26,"ROOM B
CoLiv @ Damai Residence
Location: https://g.co/kgs/hyujDDL  ",Flexible rental Duration,"RM1,560","1-month refundable security rental deposit (RM1560)

NOTE: Rental Duration of 6-11 months, 2 months security deposit is required. If rental duration is lesser than 6 months, then the a different rental rate will apply.",https://my.matterport.com/show/?m=UebYtBrbfuq ,"Shared Bathroom: https://my.matterport.com/show/?m=AT4X364V7GY 
Unit Pantry: https://my.matterport.com/show/?m=vsjAS7At4sv ","Lobby: https://my.matterport.com/show/?m=MzP34EGBTkH 
Gym: https://my.matterport.com/show/?m=TDAXKhVnxyp 
Laundry: https://my.matterport.com/show/?m=va12CiCMHa4 
Garden: https://my.matterport.com/show/?m=XJC9JXTth2U 
Kitchen: https://my.matterport.com/show/?m=wx4KzajnJB7 
Co-Coon Hub: https://my.matterport.com/show/?m=CM8P3fJHj2B 
Rooftop: https://my.matterport.com/show/?m=WPXtVgKxcYj ",
27,"ROOM C
CoLiv @ Damai Residence
Location: https://g.co/kgs/hyujDDL  ",Flexible rental Duration,"RM2,075","1-month refundable security rental deposit (RM2075)

NOTE: Rental Duration of 6-11 months, 2 months security deposit is required. If rental duration is lesser than 6 months, then the a different rental rate will apply.",https://my.matterport.com/show/?m=67avTyaPDjx ,"Shared Bathroom: https://my.matterport.com/show/?m=AT4X364V7GY 
Unit Pantry: https://my.matterport.com/show/?m=vsjAS7At4sv ","Lobby: https://my.matterport.com/show/?m=MzP34EGBTkH 
Gym: https://my.matterport.com/show/?m=TDAXKhVnxyp 
Laundry: https://my.matterport.com/show/?m=va12CiCMHa4 
Garden: https://my.matterport.com/show/?m=XJC9JXTth2U 
Kitchen: https://my.matterport.com/show/?m=wx4KzajnJB7 
Co-Coon Hub: https://my.matterport.com/show/?m=CM8P3fJHj2B 
Rooftop: https://my.matterport.com/show/?m=WPXtVgKxcYj ",
28,"ROOM D
CoLiv @ Damai Residence
Location: https://g.co/kgs/hyujDDL  ",Flexible rental Duration,"RM1,625","1-month refundable security rental deposit (RM1625)

NOTE: Rental Duration of 6-11 months, 2 months security deposit is required. If rental duration is lesser than 6 months, then the a different rental rate will apply.",https://my.matterport.com/show/?m=zCQ6oAX8fGx ,"Shared Bathroom: https://my.matterport.com/show/?m=AT4X364V7GY 
Unit Pantry: https://my.matterport.com/show/?m=vsjAS7At4sv ","Lobby: https://my.matterport.com/show/?m=MzP34EGBTkH 
Gym: https://my.matterport.com/show/?m=TDAXKhVnxyp 
Laundry: https://my.matterport.com/show/?m=va12CiCMHa4 
Garden: https://my.matterport.com/show/?m=XJC9JXTth2U 
Kitchen: https://my.matterport.com/show/?m=wx4KzajnJB7 
Co-Coon Hub: https://my.matterport.com/show/?m=CM8P3fJHj2B 
Rooftop: https://my.matterport.com/show/?m=WPXtVgKxcYj ",
29,"ROOM E
CoLiv @ Damai Residence
Location: https://g.co/kgs/hyujDDL  ",Flexible rental Duration,"RM2,830","1-month refundable security rental deposit (RM2830)

NOTE: Rental Duration of 6-11 months, 2 months security deposit is required. If rental duration is lesser than 6 months, then the a different rental rate will apply.",https://my.matterport.com/show/?m=sGrLwvoghsK ,"Shared Bathroom: https://my.matterport.com/show/?m=AT4X364V7GY 
Unit Pantry: https://my.matterport.com/show/?m=vsjAS7At4sv ","Lobby: https://my.matterport.com/show/?m=MzP34EGBTkH 
Gym: https://my.matterport.com/show/?m=TDAXKhVnxyp 
Laundry: https://my.matterport.com/show/?m=va12CiCMHa4 
Garden: https://my.matterport.com/show/?m=XJC9JXTth2U 
Kitchen: https://my.matterport.com/show/?m=wx4KzajnJB7 
Co-Coon Hub: https://my.matterport.com/show/?m=CM8P3fJHj2B 
Rooftop: https://my.matterport.com/show/?m=WPXtVgKxcYj ",
30,"ROOM F
CoLiv @ Damai Residence
Location: https://g.co/kgs/hyujDDL  ",Flexible rental Duration,"RM1,105","1-month refundable security rental deposit (RM1105)

NOTE: Rental Duration of 6-11 months, 2 months security deposit is required. If rental duration is lesser than 6 months, then the a different rental rate will apply.",https://my.matterport.com/show/?m=R9wBVuiWQuB ,"Shared Bathroom: https://my.matterport.com/show/?m=AT4X364V7GY 
Unit Pantry: https://my.matterport.com/show/?m=vsjAS7At4sv ","Lobby: https://my.matterport.com/show/?m=MzP34EGBTkH 
Gym: https://my.matterport.com/show/?m=TDAXKhVnxyp 
Laundry: https://my.matterport.com/show/?m=va12CiCMHa4 
Garden: https://my.matterport.com/show/?m=XJC9JXTth2U 
Kitchen: https://my.matterport.com/show/?m=wx4KzajnJB7 
Co-Coon Hub: https://my.matterport.com/show/?m=CM8P3fJHj2B 
Rooftop: https://my.matterport.com/show/?m=WPXtVgKxcYj ",
31,"KLGWP Single Room with Shared Bathroom
[FEMALE ONLY]

KL Gateway Premium Residence (https://goo.gl/maps/ic7b1JTv6B4pid85A)",Flexible rental Duration,"RM1,170","2-month refundable security rental deposit (RM2340)

NOTE: 
Rental inclusive of all utilities (except aircond) & weekly cleaning services per person.",https://drive.google.com/drive/folders/1zodgk9uwW956hQ5GTkb6KF-iswfk9dmh?usp=sharing ,,"Single Bedroom with Shared Bathroom
Room with attached bathroom and equipped with Air-conditioning & ceiling fan, wardrobe, 1 single size bed

Tenancy, Disbursement, Administration Fees, Service Fees will be informed through direct message",
